Program Time [s],data 0,data 1,data 2,data 3
10277.2,3,2,1,2
10277.2,3,2,1,3
10277.2,4,2,1,4
10277.2,5,2,0,3
10277.2,5,3,2,3
10277.2,6,7,5,4
10277.2,5,6,6,3
10277.2,3,4,3,1
10277.3,2,4,2,0
10277.3,1,2,1,0
10277.3,0,1,0,0
10277.3,0,2,1,1
10277.3,1,2,1,2
10277.3,2,1,1,2
10277.3,2,1,1,2
10277.3,3,1,1,2
10277.3,2,1,1,3
10277.3,5,5,5,4
10277.3,5,7,6,3
10277.3,3,5,4,1
10277.3,2,4,2,0
10277.3,2,3,1,0
10277.3,0,2,0,-1
10277.3,0,2,0,0
10277.3,2,4,1,1
10277.3,3,4,3,2
10277.3,3,3,3,4
10277.3,4,4,4,5
10277.3,6,5,5,4
10277.3,3,3,2,2
10277.3,2,1,0,2
10277.3,2,1,0,2
10277.3,3,2,1,2
10277.3,3,3,2,3
10277.3,4,4,2,2
10277.3,3,4,3,3
10277.3,4,5,3,3
10277.3,4,4,3,2
10277.3,2,2,1,0
10277.3,1,2,0,0
10277.3,1,3,2,1
10277.3,2,3,3,2
10277.3,3,4,2,1
10277.3,2,3,2,1
10277.3,2,4,2,1
10277.3,1,2,2,2
10277.3,3,3,2,1
10277.3,2,2,1,1
10277.3,1,0,0,2
10277.3,2,0,0,2
10277.3,3,0,0,4
10277.3,4,0,0,5
10277.3,7,3,3,6
10277.3,8,7,6,6
10277.3,9,13,12,5
10277.3,5,10,8,1
10277.3,0,2,1,-1
10277.3,-2,-1,-2,-2
10277.3,-2,-2,-2,-1
10277.3,1,2,1,0
10277.3,1,4,4,3
10277.3,3,4,4,4
10277.3,4,4,3,2
10277.3,2,2,0,1
10277.3,2,1,1,1
10277.3,2,2,2,3
10277.3,4,3,2,3
10277.3,4,2,1,3
10277.3,4,1,0,2
10277.3,3,2,1,3
10277.3,6,5,4,4
10277.3,5,7,5,4
10277.3,6,8,7,3
10277.3,3,6,4,1
10277.3,1,1,1,0
10277.3,0,1,0,0
10277.3,0,2,2,0
10277.3,0,3,2,1
10277.3,1,2,2,1
10277.3,0,1,0,0
10277.3,0,1,0,1
10277.3,2,2,1,2
10277.3,4,4,3,4
10277.3,5,5,3,3
10277.3,4,4,3,2
10277.3,4,6,4,2
10277.3,4,5,4,2
10277.3,3,3,2,1
10277.3,1,2,1,0
10277.3,1,1,0,0
10277.3,0,0,0,1
10277.3,1,0,0,1
10277.3,1,0,0,2
10277.3,3,1,0,3
10277.3,6,4,3,6
10277.3,9,8,7,7
10277.3,8,7,6,5
10277.3,6,6,4,3
10277.3,4,3,2,1
10277.3,1,0,0,0
10277.3,0,0,-1,0
10277.3,0,1,0,0
10277.3,3,3,3,4
10277.3,4,4,3,4
10277.3,4,4,2,2
10277.3,3,2,1,1
10277.3,3,3,2,1
10277.3,3,7,5,3
10277.3,3,6,4,2
10277.3,3,4,3,1
10277.3,2,3,2,0
10277.3,0,2,1,0
10277.3,0,0,0,0
10277.3,2,3,2,2
10277.3,3,5,4,4
10277.3,3,2,1,2
10277.3,2,1,0,1
10277.3,3,4,3,2
10277.3,3,3,2,2
10277.3,2,2,2,2
10277.3,2,1,1,1
10277.3,2,2,0,2
10277.3,3,1,1,3
10277.3,4,3,2,4
10277.3,5,4,4,5
10277.3,5,4,3,3
10277.3,4,3,2,2
10277.3,3,3,2,2
10277.3,3,3,2,2
10277.3,3,4,2,2
10277.3,4,6,5,3
10277.3,4,6,5,2
10277.3,2,3,3,1
10277.3,0,0,0,0
10277.3,0,-1,-1,0
10277.3,1,0,0,2
10277.3,3,1,1,2
10277.3,2,1,1,4
10277.3,5,4,4,6
10277.3,7,7,6,5
10277.3,6,8,6,3
10277.3,2,3,2,0
10277.3,0,1,0,-1
10277.3,0,0,0,0
10277.3,1,2,1,1
10277.3,2,1,1,1
10277.3,2,3,1,1
10277.3,3,2,0,0
10277.3,4,4,1,2
10277.3,4,4,2,2
10277.3,4,4,2,3
10277.3,5,5,2,2
10277.3,4,4,3,3
10277.3,3,3,2,3
10277.3,4,4,3,2
10277.3,3,3,2,1
10277.3,2,2,1,0
10277.3,1,2,2,1
10277.3,3,4,3,2
10277.3,2,3,2,1
10277.3,0,1,1,1
10277.3,1,1,1,3
10277.3,3,2,2,3
10277.3,3,2,2,3
10277.3,3,4,4,4
10277.3,5,4,5,3
10277.3,3,4,3,2
10277.3,3,4,2,2
10277.3,2,3,2,1
10277.3,1,2,1,0
10277.3,1,1,1,1
10277.3,2,2,1,2
10277.3,2,2,1,3
10277.3,4,3,3,3
10277.3,4,3,2,2
10277.3,3,4,3,2
10277.3,5,6,5,3
10277.3,5,8,6,1
10277.3,3,5,4,0
10277.3,0,2,0,-1
10277.3,0,1,0,0
10277.3,0,0,0,0
10277.4,2,2,1,3
10277.4,4,4,3,3
10277.4,5,4,3,2
10277.4,4,5,4,3
10277.4,4,5,2,1
10277.4,3,4,3,1
10277.4,2,3,1,0
10277.4,0,2,0,0
10277.4,1,1,1,1
10277.4,2,2,3,3
10277.4,4,4,4,3
10277.4,2,0,0,1
10277.4,1,-1,-1,2
10277.4,4,2,2,5
10277.4,6,4,4,6
10277.4,6,5,3,4
10277.4,6,5,5,3
10277.4,4,4,4,3
10277.4,2,4,3,2
10277.4,2,3,1,0
10277.4,2,2,1,0
10277.4,1,1,0,0
10277.4,1,1,0,1
10277.4,3,2,1,2
10277.4,4,4,3,3
10277.4,5,4,3,2
10277.4,3,3,2,2
10277.4,3,2,1,3
10277.4,4,2,1,2
10277.4,3,3,2,3
10277.4,4,3,2,1
10277.4,3,6,5,3
10277.4,3,6,5,3
10277.4,2,3,2,0
10277.4,0,1,0,0
10277.4,0,0,-1,0
10277.4,0,0,0,1
10277.4,3,4,3,3
10277.4,6,7,5,3
10277.4,7,12,11,3
10277.4,2,7,6,0
10277.4,0,1,1,0
10277.4,-1,0,-2,-2
10277.4,0,0,0,0
10277.4,0,0,0,0
10277.4,2,2,1,1
10277.4,3,3,2,3
10277.4,5,5,3,3
10277.4,5,5,2,2
10277.4,3,3,2,3
10277.4,4,3,2,3
10277.4,4,4,3,5
10277.4,5,4,4,4
10277.4,5,4,3,3
10277.4,3,1,1,2
10277.4,2,2,2,2
10277.4,3,3,3,4
10277.4,4,4,4,3
10277.4,3,4,2,1
10277.4,1,1,0,1
10277.4,3,3,3,1
10277.4,2,4,3,1
10277.4,1,3,3,1
10277.4,1,3,3,1
10277.4,1,3,3,2
10277.4,3,3,3,2
10277.4,2,2,1,0
10277.4,2,2,1,0
10277.4,1,1,0,1
10277.4,1,0,0,1
10277.4,2,1,0,3
10277.4,4,2,2,5
10277.4,7,4,2,5
10277.4,7,4,2,3
10277.4,5,4,2,2
10277.4,3,3,2,2
10277.4,4,4,2,2
10277.4,3,4,3,2
10277.4,2,2,1,1
10277.4,2,2,1,0
10277.4,1,3,2,2
10277.4,3,4,3,3
10277.4,3,3,3,2
10277.4,3,4,3,2
10277.4,3,3,2,1
10277.4,1,2,2,2
10277.4,2,3,2,2
10277.4,3,5,3,2
10277.4,3,6,4,1
10277.4,2,6,5,2
10277.4,2,6,5,1
10277.4,2,5,4,0
10277.4,0,3,2,0
10277.4,-1,0,-1,-1
10277.4,-1,-2,-2,0
10277.4,1,-1,-1,2
10277.4,2,-1,0,4
10277.4,5,2,0,6
10277.4,7,4,3,7
10277.4,8,7,5,8
10277.4,8,7,4,5
10277.4,6,4,2,3
10277.4,3,3,1,2
10277.4,3,2,1,1
10277.4,3,4,3,2
10277.4,3,3,3,1
10277.4,1,2,1,0
10277.4,1,2,1,0
10277.4,2,3,2,2
10277.4,3,3,2,2
10277.4,3,3,1,1
10277.4,2,2,1,1
10277.4,3,3,1,0
10277.4,2,3,2,1
10277.4,3,5,4,3
10277.4,5,5,3,1
10277.4,2,3,0,0
10277.4,1,2,2,1
10277.4,2,5,5,3
10277.4,3,4,5,4
10277.4,3,4,5,2
10277.4,2,5,4,1
10277.4,0,3,2,0
10277.4,0,2,1,0
10277.4,0,0,0,1
10277.4,0,0,0,2
10277.4,2,0,0,3
10277.4,4,0,0,4
10277.4,6,3,2,5
10277.4,6,4,4,6
10277.4,7,4,4,5
10277.4,7,6,5,5
10277.4,7,8,7,4
10277.4,4,5,3,0
10277.4,1,2,1,0
10277.4,0,0,0,0
10277.4,0,1,0,0
10277.4,1,1,0,1
10277.4,2,2,1,1
10277.4,3,4,3,2
10277.4,3,4,3,2
10277.4,3,3,3,2
10277.4,3,4,3,2
10277.4,2,3,2,1
10277.4,2,2,1,1
10277.4,2,2,2,2
10277.4,3,4,3,2
10277.4,3,4,3,2
10277.4,2,2,1,2
10277.4,2,2,1,1
10277.4,2,2,2,3
10277.4,4,3,2,2
10277.4,3,3,2,2
10277.4,3,2,1,2
10277.4,3,2,1,1
10277.4,3,4,4,3
10277.4,4,4,4,4
10277.4,3,3,3,3
10277.4,4,2,1,2
10277.4,3,3,3,3
10277.4,3,4,5,2
10277.4,2,3,4,1
10277.4,1,1,1,0
10277.4,0,0,0,2
10277.4,2,1,0,2
10277.4,2,1,0,2
10277.4,4,5,3,3
10277.4,5,6,5,3
10277.4,3,3,2,2
10277.4,3,3,1,1
10277.4,2,2,0,0
10277.4,2,3,2,1
10277.4,2,3,2,2
10277.5,3,5,4,2
10277.5,3,4,3,2
10277.5,3,3,2,1
10277.5,2,2,1,0
10277.5,2,2,1,1
10277.5,2,3,2,2
10277.5,3,3,2,2
10277.5,3,2,1,2
10277.5,2,1,0,2
10277.5,3,2,1,2
10277.5,4,3,2,3
10277.5,4,4,3,2
10277.5,4,4,3,3
10277.5,2,2,1,2
10277.5,2,3,3,3
10277.5,3,3,3,2
10277.5,3,3,3,3
10277.5,2,2,2,2
10277.5,1,2,2,2
10277.5,2,1,1,3
10277.5,3,2,2,3
10277.5,3,2,2,3
10277.5,4,3,2,3
10277.5,4,4,3,2
10277.5,4,5,4,2
10277.5,4,6,5,1
10277.5,2,4,2,0
10277.5,1,1,0,-1
10277.5,1,2,0,0
10277.5,1,4,1,0
10277.5,2,5,3,1
10277.5,2,3,2,1
10277.5,3,3,2,2
10277.5,3,2,1,2
10277.5,3,1,0,3
10277.5,4,4,3,5
10277.5,5,4,2,4
10277.5,4,3,2,4
10277.5,5,2,1,2
10277.5,3,2,1,1
10277.5,1,1,0,1
10277.5,2,2,1,2
10277.5,3,2,1,3
10277.5,3,1,0,4
10277.5,4,1,1,2
10277.5,4,2,1,3
10277.5,5,3,2,3
10277.5,5,5,5,4
10277.5,5,5,4,2
10277.5,3,5,2,0
10277.5,0,3,2,0
10277.5,0,2,2,0
10277.5,1,2,2,0
10277.5,2,3,2,1
10277.5,2,2,1,1
10277.5,2,2,1,1
10277.5,4,5,5,3
10277.5,3,5,5,2
10277.5,3,4,3,1
10277.5,1,2,2,0
10277.5,2,3,2,1
10277.5,2,3,2,1
10277.5,2,3,2,2
10277.5,2,2,1,1
10277.5,2,3,2,1
10277.5,2,3,3,2
10277.5,3,5,4,2
10277.5,3,3,2,2
10277.5,3,3,2,2
10277.5,3,2,1,1
10277.5,1,1,0,1
10277.5,2,2,1,2
10277.5,4,5,3,3
10277.5,5,6,4,3
10277.5,5,6,4,2
10277.5,3,4,3,1
10277.5,1,0,0,0
10277.5,0,0,0,1
10277.5,1,0,0,2
10277.5,2,0,0,2
10277.5,4,1,0,3
10277.5,4,3,3,5
10277.5,6,4,4,5
10277.5,7,5,5,5
10277.5,6,6,5,4
10277.5,4,5,5,2
10277.5,1,3,3,1
10277.5,0,0,0,0
10277.5,0,1,2,2
10277.5,2,2,1,1
10277.5,2,0,0,0
10277.5,2,1,0,0
10277.5,3,3,2,2
10277.5,3,1,0,2
10277.5,4,2,0,2
10277.5,5,4,2,3
10277.5,7,7,5,4
10277.5,6,7,6,4
10277.5,5,7,6,4
10277.5,3,5,4,1
10277.5,0,0,0,0
10277.5,0,0,0,0
10277.5,0,1,0,0
10277.5,0,1,1,1
10277.5,2,2,1,2
10277.5,3,3,2,3
10277.5,4,3,2,2
10277.5,4,6,4,2
10277.5,4,7,5,3
10277.5,3,5,2,1
10277.5,2,3,1,0
10277.5,1,1,0,0
10277.5,1,1,0,0
10277.5,1,2,1,1
10277.5,3,3,3,4
10277.5,4,5,4,5
10277.5,4,3,2,2
10277.5,2,1,1,1
10277.5,2,1,1,1
10277.5,2,3,3,3
10277.5,4,5,4,3
10277.5,3,3,2,2
10277.5,2,2,1,1
10277.5,2,3,2,2
10277.5,2,3,2,3
10277.5,4,4,3,2
10277.5,3,4,2,2
10277.5,3,3,2,1
10277.5,3,4,3,2
10277.5,3,4,4,3
10277.5,3,4,2,2
10277.5,3,3,1,0
10277.5,2,2,1,0
10277.5,1,1,0,0
10277.5,2,2,1,2
10277.5,3,3,3,4
10277.5,5,3,2,3
10277.5,4,1,0,2
10277.5,4,2,1,2
10277.5,4,4,4,4
10277.5,5,6,4,2
10277.5,3,4,4,3
10277.5,2,4,3,1
10277.5,2,2,1,1
10277.5,1,1,0,0
10277.5,1,0,0,1
10277.5,2,2,1,2
10277.5,3,1,1,1
10277.5,3,0,0,0
10277.5,3,1,1,2
10277.5,5,5,4,4
10277.5,6,6,5,4
10277.5,5,5,4,4
10277.5,4,5,3,2
10277.5,3,4,3,1
10277.5,2,3,1,0
10277.5,0,1,1,0
10277.5,1,0,0,0
10277.5,1,2,1,1
10277.5,3,5,6,5
10277.5,4,6,4,3
10277.5,4,6,5,3
10277.5,4,6,5,2
10277.5,3,3,2,0
10277.5,0,0,-1,-1
10277.5,0,2,1,0
10277.5,2,6,4,0
10277.5,2,4,3,0
10277.5,0,1,0,0
10277.5,0,-2,-2,0
10277.5,1,-2,-2,2
10277.5,3,0,0,5
10277.5,7,6,5,7
10277.5,8,8,7,6
10277.5,7,6,5,3
10277.6,3,4,2,1
10277.6,1,3,2,0
10277.6,0,2,2,1
10277.6,2,3,3,2
10277.6,2,2,1,0
10277.6,1,1,0,1
10277.6,3,3,2,2
10277.6,4,4,3,3
10277.6,3,1,0,2
10277.6,3,0,0,2
10277.6,4,4,2,3
10277.6,4,4,2,3
10277.6,4,4,4,3
10277.6,4,5,4,4
10277.6,3,2,1,1
10277.6,2,0,0,0
10277.6,0,0,0,1
10277.6,1,2,2,3
10277.6,4,4,4,4
10277.6,4,6,5,4
10277.6,4,6,5,2
10277.6,3,4,4,0
10277.6,1,5,4,0
10277.6,1,5,3,0
10277.6,0,0,0,0
10277.6,0,0,0,0
10277.6,0,0,0,0
10277.6,3,2,2,3
10277.6,4,5,5,5
10277.6,6,8,7,5
10277.6,8,12,10,5
10277.6,3,6,5,0
10277.6,-1,0,0,-2
10277.6,-1,-1,-1,0
10277.6,0,0,0,0
10277.6,1,0,0,2
10277.6,3,1,1,3
10277.6,4,4,2,4
10277.6,5,5,4,4
10277.6,5,4,2,3
10277.6,4,2,0,1
10277.6,3,1,-2,0
10277.6,3,2,0,1
10277.6,4,4,2,2
10277.6,5,5,4,3
10277.6,5,5,3,3
10277.6,5,5,4,3
10277.6,3,3,3,3
10277.6,2,2,3,2
10277.6,2,3,3,3
10277.6,2,3,4,3
10277.6,2,2,2,1
10277.6,0,2,1,0
10277.6,0,1,1,0
10277.6,1,2,2,1
10277.6,2,3,2,2
10277.6,3,4,3,3
10277.6,4,4,3,2
10277.6,3,4,3,2
10277.6,3,2,1,1
10277.6,2,1,0,0
10277.6,2,2,1,2
10277.6,4,4,3,2
10277.6,4,5,3,2
10277.6,3,3,2,2
10277.6,2,1,1,2
10277.6,3,2,1,2
10277.6,4,4,3,4
10277.6,4,4,3,3
10277.6,3,5,4,2
10277.6,4,5,4,2
10277.6,3,5,2,1
10277.6,2,3,1,0
10277.6,0,1,0,-1
10277.6,0,0,0,0
10277.6,1,1,1,2
10277.6,3,2,1,2
10277.6,3,1,0,2
10277.6,4,2,1,3
10277.6,5,4,3,4
10277.6,5,5,4,4
10277.6,5,4,4,5
10277.6,4,4,3,2
10277.6,2,2,1,0
10277.6,1,2,1,2
10277.6,3,3,2,2
10277.6,3,3,2,2
10277.6,3,3,2,1
10277.6,2,3,2,1
10277.6,2,4,3,2
10277.6,4,6,5,3
10277.6,4,6,5,2
10277.6,2,2,1,0
10277.6,0,0,0,1
10277.6,1,1,0,1
10277.6,2,2,1,2
10277.6,2,0,0,1
10277.6,3,1,1,4
10277.6,4,1,0,4
10277.6,5,2,0,3
10277.6,5,3,2,3
10277.6,6,7,5,3
10277.6,6,8,6,3
10277.6,5,7,5,1
10277.6,2,5,3,0
10277.6,0,1,0,-1
10277.6,0,0,0,-1
10277.6,0,1,0,0
10277.6,2,2,2,1
10277.6,3,3,2,2
10277.6,4,4,3,3
10277.6,4,3,2,3
10277.6,4,4,3,4
10277.6,4,3,2,3
10277.6,4,3,2,3
10277.6,3,1,1,2
10277.6,2,2,1,2
10277.6,3,3,2,2
10277.6,3,4,3,3
10277.6,4,3,3,2
10277.6,2,3,3,2
10277.6,2,2,2,2
10277.6,2,3,2,2
10277.6,3,4,3,3
10277.6,2,3,3,2
10277.6,2,2,1,1
10277.6,1,2,2,2
10277.6,3,3,3,2
10277.6,3,4,2,2
10277.6,3,4,3,2
10277.6,3,4,2,1
10277.6,2,1,1,1
10277.6,2,2,1,1
10277.6,3,2,1,2
10277.6,4,4,3,3
10277.6,4,4,3,3
10277.6,4,3,2,2
10277.6,3,3,2,2
10277.6,3,3,1,1
10277.6,2,2,1,1
10277.6,2,3,2,2
10277.6,3,3,2,1
10277.6,2,3,3,3
10277.6,3,2,2,2
10277.6,2,0,0,1
10277.6,1,2,0,2
10277.6,3,3,2,3
10277.6,4,5,4,3
10277.6,4,3,2,1
10277.6,3,3,2,2
10277.6,3,4,2,2
10277.6,3,4,2,2
10277.6,3,3,2,2
10277.6,2,2,2,1
10277.6,2,3,3,2
10277.6,2,3,2,1
10277.6,1,2,2,2
10277.6,2,1,1,3
10277.6,3,2,2,3
10277.6,3,3,2,3
10277.6,4,3,2,4
10277.6,4,2,1,2
10277.6,4,4,3,3
10277.6,5,6,5,3
10277.6,4,4,2,2
10277.6,2,2,0,0
10277.6,2,1,0,0
10277.6,2,2,0,0
10277.6,1,2,1,0
10277.6,4,5,4,2
10277.6,4,7,7,4
10277.6,4,4,4,2
10277.6,1,0,0,0
10277.7,2,1,0,0
10277.7,3,4,3,2
10277.7,3,5,4,2
10277.7,4,7,7,4
10277.7,5,7,6,2
10277.7,1,2,1,0
10277.7,0,0,0,-1
10277.7,0,0,0,0
10277.7,1,0,0,0
10277.7,3,2,1,2
10277.7,3,2,2,3
10277.7,3,1,2,4
10277.7,5,3,2,3
10277.7,3,1,2,4
10277.7,5,2,1,4
10277.7,5,2,1,3
10277.7,4,2,1,3
10277.7,4,4,3,4
10277.7,5,3,3,3
10277.7,4,3,4,4
10277.7,3,3,3,3
10277.7,3,3,3,2
10277.7,2,2,2,2
10277.7,3,3,2,1
10277.7,2,3,2,0
10277.7,1,1,0,0
10277.7,1,1,1,0
10277.7,0,1,0,0
10277.7,1,2,0,0
10277.7,3,5,2,1
10277.7,4,6,3,1
10277.7,3,6,5,2
10277.7,2,4,5,2
10277.7,3,4,4,4
10277.7,4,3,3,3
10277.7,4,3,3,3
10277.7,4,4,4,3
10277.7,3,3,2,2
10277.7,2,1,0,1
10277.7,2,1,0,1
10277.7,2,1,0,1
10277.7,3,2,0,1
10277.7,3,3,1,1
10277.7,4,4,3,4
10277.7,5,6,3,3
10277.7,4,4,3,3
10277.7,4,5,3,1
10277.7,2,2,0,0
10277.7,1,2,2,1
10277.7,2,2,2,1
10277.7,1,1,1,1
10277.7,2,3,3,1
10277.7,2,4,4,2
10277.7,2,4,4,3
10277.7,2,3,3,2
10277.7,1,2,3,3
10277.7,1,0,1,2
10277.7,2,1,1,2
10277.7,3,1,1,2
10277.7,3,1,1,3
10277.7,4,3,2,3
10277.7,4,4,3,4
10277.7,6,6,4,3
10277.7,5,5,4,2
10277.7,3,5,4,2
10277.7,2,5,4,1
10277.7,1,4,2,0
10277.7,0,1,0,0
10277.7,0,-1,-3,-2
10277.7,0,-2,-2,0
10277.7,1,0,0,2
10277.7,3,1,1,5
10277.7,7,5,4,7
10277.7,9,10,9,8
10277.7,8,8,5,3
10277.7,4,3,3,1
10277.7,2,2,1,1
10277.7,2,2,0,0
10277.7,2,2,0,0
10277.7,2,3,2,1
10277.7,3,4,1,1
10277.7,3,3,2,1
10277.7,2,3,2,0
10277.7,1,2,2,1
10277.7,1,2,1,1
10277.7,1,2,1,1
10277.7,3,3,2,2
10277.7,2,1,1,2
10277.7,2,0,1,3
10277.7,4,3,2,4
10277.7,6,6,4,4
10277.7,5,4,4,4
10277.7,3,3,2,2
10277.7,3,3,2,3
10277.7,3,4,3,3
10277.7,3,4,3,2
10277.7,2,2,1,1
10277.7,2,1,1,1
10277.7,2,1,0,0
10277.7,2,1,0,0
10277.7,3,4,2,2
10277.7,4,5,5,3
10277.7,4,8,6,3
10277.7,5,10,8,2
10277.7,1,4,4,-1
10277.7,0,0,0,-1
10277.7,-1,0,0,-1
10277.7,0,0,0,0
10277.7,1,1,0,1
10277.7,3,3,1,3
10277.7,4,4,3,3
10277.7,5,4,3,3
10277.7,4,4,2,2
10277.7,4,4,3,2
10277.7,3,3,2,3
10277.7,3,3,2,2
10277.7,3,2,1,2
10277.7,2,2,1,1
10277.7,2,1,0,2
10277.7,3,3,3,3
10277.7,3,3,4,4
10277.7,4,4,3,2
10277.7,2,3,2,2
10277.7,3,3,2,2
10277.7,3,4,3,3
10277.7,3,4,3,3
10277.7,3,5,3,3
10277.7,3,3,3,2
10277.7,2,3,1,0
10277.7,2,2,1,0
10277.7,1,1,1,0
10277.7,1,1,0,0
10277.7,2,2,2,2
10277.7,3,3,2,3
10277.7,4,5,4,3
10277.7,4,4,3,2
10277.7,3,3,2,2
10277.7,3,3,2,3
10277.7,3,3,3,3
10277.7,3,3,1,1
10277.7,2,2,1,1
10277.7,3,3,3,3
10277.7,4,4,3,3
10277.7,4,4,3,2
10277.7,3,4,2,0
10277.7,2,2,1,0
10277.7,1,2,1,0
10277.7,2,2,1,0
10277.7,2,2,0,1
10277.7,2,2,1,1
10277.7,4,6,5,3
10277.7,4,8,7,2
10277.7,3,6,5,2
10277.7,2,3,3,1
10277.7,1,1,1,0
10277.7,1,1,0,0
10277.7,0,0,0,0
10277.7,1,0,0,2
10277.7,2,1,0,4
10277.7,5,1,1,4
10277.7,6,3,2,5
10277.7,5,2,1,4
10277.7,5,3,3,5
10277.7,6,5,3,5
10277.7,6,5,3,5
10277.7,4,3,1,1
10277.7,2,3,2,2
10277.7,3,5,3,2
10277.7,3,4,3,0
10277.7,1,3,3,1
10277.7,2,2,0,0
10277.7,1,2,1,0
10277.7,1,2,1,0
10277.7,2,3,2,1
10277.8,3,4,3,2
10277.8,2,4,3,2
10277.8,2,3,2,1
10277.8,2,2,2,2
10277.8,3,4,4,3
10277.8,3,3,3,2
10277.8,3,2,1,1
10277.8,2,1,1,2
10277.8,3,2,1,2
10277.8,3,3,2,2
10277.8,3,3,2,2
10277.8,3,4,3,3
10277.8,4,4,2,1
10277.8,3,3,2,2
10277.8,2,1,0,1
10277.8,1,2,2,2
10277.8,3,3,2,3
10277.8,4,3,3,3
10277.8,3,3,3,3
10277.8,3,2,2,2
10277.8,3,3,3,3
10277.8,4,5,4,3
10277.8,3,5,4,3
10277.8,3,4,4,2
10277.8,2,3,2,1
10277.8,1,2,1,0
10277.8,0,1,0,0
10277.8,1,1,1,2
10277.8,2,2,1,2
10277.8,3,2,1,2
10277.8,3,2,1,3
10277.8,4,4,3,4
10277.8,5,5,4,4
10277.8,5,4,4,3
10277.8,3,3,2,2
10277.8,2,2,1,1
10277.8,2,2,1,1
10277.8,1,2,1,1
10277.8,2,2,1,2
10277.8,3,3,2,1
10277.8,3,4,2,2
10277.8,4,4,2,2
10277.8,4,5,2,2
10277.8,3,5,4,3
10277.8,3,3,2,2
10277.8,2,2,1,1
10277.8,1,0,0,0
10277.8,2,1,0,1
10277.8,1,1,1,2
10277.8,5,3,3,3
10277.8,6,7,6,4
10277.8,5,8,6,2
10277.8,4,7,5,0
10277.8,0,5,3,0
10277.8,0,2,2,0
10277.8,-1,0,0,0
10277.8,0,1,0,0
10277.8,0,1,0,0
10277.8,2,0,0,2
10277.8,3,0,0,4
10277.8,7,5,5,6
10277.8,7,6,6,5
10277.8,6,4,4,3
10277.8,4,2,1,3
10277.8,4,0,0,1
10277.8,3,2,1,1
10277.8,3,3,3,3
10277.8,3,3,3,3
10277.8,3,4,3,4
10277.8,3,2,1,2
10277.8,3,4,1,0
10277.8,2,3,1,0
10277.8,1,2,1,2
10277.8,3,3,2,1
10277.8,2,3,3,2
10277.8,3,4,2,1
10277.8,1,2,2,1
10277.8,1,1,0,0
10277.8,2,2,0,1
10277.8,3,2,0,1
10277.8,4,4,1,2
10277.8,3,3,1,2
10277.8,4,5,3,3
10277.8,5,6,5,4
10277.8,6,6,4,3
10277.8,4,4,3,1
10277.8,1,2,0,0
10277.8,0,1,0,0
10277.8,0,2,1,1
10277.8,2,3,2,2
10277.8,3,3,3,3
10277.8,3,2,2,2
10277.8,3,2,3,4
10277.8,5,4,5,4
10277.8,5,5,6,3
10277.8,3,4,4,1
10277.8,1,2,1,0
10277.8,0,1,0,0
10277.8,1,2,1,0
10277.8,1,2,0,0
10277.8,1,2,1,0
10277.8,2,1,1,3
10277.8,5,5,3,4
10277.8,4,3,2,3
10277.8,4,2,1,2
10277.8,3,2,1,3
10277.8,4,3,2,3
10277.8,4,4,3,3
10277.8,4,4,3,3
10277.8,3,3,2,2
10277.8,3,3,2,2
10277.8,3,4,3,2
10277.8,3,4,4,2
10277.8,2,2,2,1
10277.8,1,1,1,1
10277.8,1,1,0,1
10277.8,1,0,0,0
10277.8,2,0,0,1
10277.8,3,3,2,2
10277.8,4,4,3,3
10277.8,4,4,3,3
10277.8,5,5,5,3
10277.8,4,5,3,2
10277.8,3,4,2,1
10277.8,1,2,1,0
10277.8,1,2,2,0
10277.8,1,3,3,2
10277.8,2,1,1,2
10277.8,1,0,0,1
10277.8,2,1,1,3
10277.8,4,3,2,3
10277.8,5,5,4,5
10277.8,5,3,2,3
10277.8,3,2,1,2
10277.8,4,3,2,3
10277.8,4,5,4,2
10277.8,4,6,4,2
10277.8,4,8,6,1
10277.8,3,9,7,0
10277.8,1,6,4,-2
10277.8,-2,1,0,-3
10277.8,-2,-1,-2,-2
10277.8,-1,0,0,0
10277.8,0,-1,-2,0
10277.8,1,-2,-1,3
10277.8,5,3,2,8
10277.8,10,8,7,8
10277.8,9,9,7,6
10277.8,6,5,3,3
10277.8,3,1,1,1
10277.8,2,2,1,1
10277.8,2,2,1,1
10277.8,1,2,1,0
10277.8,2,3,2,1
10277.8,2,2,1,1
10277.8,2,2,1,1
10277.8,3,3,1,1
10277.8,2,1,0,2
10277.8,3,2,1,4
10277.8,4,3,4,5
10277.8,5,3,3,4
10277.8,4,1,0,1
10277.8,3,4,4,4
10277.8,5,8,7,5
10277.8,4,5,4,2
10277.8,2,3,2,0
10277.8,0,1,0,0
10277.8,0,1,1,0
10277.8,1,1,1,1
10277.8,2,3,2,2
10277.8,3,4,2,2
10277.8,3,3,2,1
10277.8,3,4,2,1
10277.8,2,2,1,2
10277.8,3,3,2,3
10277.9,4,4,2,3
10277.9,4,4,3,2
10277.9,2,2,1,2
10277.9,3,2,2,2
10277.9,3,4,3,2
10277.9,3,4,3,2
10277.9,3,2,1,0
10277.9,1,3,1,1
10277.9,2,4,2,1
10277.9,2,3,1,2
10277.9,3,3,2,2
10277.9,3,0,0,1
10277.9,3,0,0,1
10277.9,4,3,2,3
10277.9,5,4,4,4
10277.9,5,5,5,4
10277.9,4,4,3,4
